Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
ASULAM,ASULAME (M),NO,3337-71-1
ATRAZINE (PLUS RELATED ACTIVE TRIAZINES),ATRAZINE (N.F.) (ET TRIAZINES ACTIFS APPARENTÉS),YES,1912-24-9
ATTENUATED CUCUMBER GREEN MOTTLE MOSAIC VIRUS STRAIN ON-BM3; AL-BIO10,VIRUS DE LA MOSAÏQUE MARBRÉE VERTE DU CONCOMBRE SOUCHE ON-BM3; AL-BIO10,NO,
ATTENUATED TOMATO BROWN RUGOSE FRUIT VIRUS,VIRUS DU FRUIT RUGUEUX BRUN DE LA TOMATE,NO,
AUREOBASIDIUM PULLULANS DSM 14940 AND DSM 14941,AUREOBASIDIUM PULLULANS DSM 14940 ET DSM 14941,NO,
AUREOBASIDIUM PULLULANS STRAIN DSM 14940,AUREOBASIDIUM PULLULANS SOUCHE DSM 14940,NO,
AUREOBASIDIUM PULLULANS STRAIN DSM 14941,AUREOBASIDIUM PULLULANS SOUCHE DSM 14941,NO,
AUTOGRAPHA CALIFORNICA NUCLEOPOLYHEDROVIRUS FV11,NUCLÉOPOLYHÉDROVIRUS AUTOGRAPHA CALIFORNICA FV11,NO,
"AVAILABLE BROMINE (PRESENT AS 1-BROMO-3-CHLORO-5,5-DIMETHYLHYDANTOIN AND RELATED HYDANTOINS)","BROME DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE  1-BROMO-3-CHLORO-5,5-DIMÉTHYLHYDANTOÏNE ET HYDANTOÏNE RELIÉES)",YES,16079-88-2
"AVAILABLE CHLORINE (PRESENT AS 1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN AND 1,3- DICHLORO-5-ETHYL-5-METHYLHYDANTOIN)","CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE 1,3-DICHLORO-5,5-DIMÉTHYLHYDANTOÏNE ET 1,3- DICHLORO-5-ÉTHYL-5-MÉTHYLHYDANTOÏNE)",YES,
"AVAILABLE CHLORINE (PRESENT AS 1-BROMO-3-CHLORO-5,5-DIMETHYLHYDANTOIN AND RELATED HYDANTOINS)","CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE  1-BROMO-3-CHLORO-5,5-DIMÉTHYLHYDANTOÏNE ET HYDANTOÏNE RELIÉES)",YES,16079-88-2
"AVAILABLE CHLORINE (PRESENT AS 1-BROMO-3-CHLORO-5,5-DIMETHYLHYDANTOIN, 1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN, 1,3-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN AND RELATED HYDANTOINS)","CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE 1-BROMO-3-CHLORO-5,5-DIMÉTHYLHYDANTOÏNE, 1,3-DICHLORO-5,5-DIMÉTHYLHYDANTOÏNE, 1,3-DICHLORO-5-ÉTHYL-5-MÉTHYLHYDANTOÏNE ET HYDANTOÏNE RELIÉES)",YES,
AVAILABLE CHLORINE (PRESENT AS CALCIUM HYPOCHLORITE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME D'HYPOCHLORITE DE CALCIUM),NO,7778-54-3
AVAILABLE CHLORINE (PRESENT AS LITHIUM HYPOCHLORITE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME D'HYPOCHLORITE DE LITHIUM),NO,13840-33-0
AVAILABLE CHLORINE (PRESENT AS SODIUM DICHLORO-S-TRIAZINETRIONE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE  DICHLORO S-TRIAZINETRIONE SODIQUE),YES,2893-78-9
AVAILABLE CHLORINE (PRESENT AS SODIUM HYPOCHLORITE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME D'HYPOCHLORITE SODIQUE),NO,7681-52-9
AVAILABLE CHLORINE (PRESENT AS TRICHLORO-S-TRIAZINETRIONE AND SODIUM DICHLORO-S-TRIAZINETRIONE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE TRICHLORO-S-TRIAZINETRIONE ET DICHLORO-S-TRIAZINETRIONE SODIQUE),YES,
AVAILABLE CHLORINE (PRESENT AS TRICHLORO-S-TRIAZINETRIONE),CHLORE DISPONIBLE (N.M.) (PRÉSENT SOUS FORME DE  TRICHLORO S-TRIAZINETRIONE),YES,87-90-1
"AVAILABLE CHLORINE PRESENT AS 1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN","CHLORE DISPONIBLE PRÉSENT SOUS FORME DE  1,3-DICHLORO-5,5-DIMÉTHYLHYDANTOÏNE",NO,118-52-5
"AVAILABLE CHLORINE, PRESENT AS HYPOCHLOROUS ACID",CHLORE DISPONIBLE PRESENT SOUS FORME D'ACIDE HYPOCHLOREUX,NO,7790-92-3
AVIGLYCINE HYDROCHLORIDE,CHLORHYDRATE D'AVIGLYCINE (N.F.),NO,55720-26-8
AZACONAZOLE,AZACONAZOLE,NO,60207-31-0
AZACOSTEROL HYDROCHLORIDE,CHLORHYDRATE D'AZACOSTEROL (M),NO,1249-84-9
